id,title,description,publishedAt,sourceCountry,sourceName,url
41a1fbb61c306d09927ae6e96ef98bc5,Upper Junction Creek: A bright spot among Sudbury’s flooding stories,It’s an example of how environmental work brings good results. Learn more at the Junction Creek trout release festival on May 9.,2026-04-27T17:59:34Z,ca,The North Bay Nugget,https://www.nugget.ca/news/upper-junction-creek-a-bright-spot-among-sudburys-flooding-stories
98714afd3fed7e10a09c704db4159372,Leading by example: Growing into the IPL captaincy,"They aren’t international regulars, but some franchises are trusting them with leadership roles nevertheless | Cricket",2026-04-27T16:30:58Z,in,Hindustan Times,https://www.hindustantimes.com/cricket/leading-by-example-growing-into-the-ipl-captaincy-101777307458877.html
efdbf952263bc33e553572771e3ed902,Real Brokerage to Buy Re/Max in widening industry consolidation,"Real Brokerage is acquiring Re/Max in a deal valued at US$13.80 a share, in another example of consolidation in U.S. real estate. Read more.",2026-04-27T14:47:34Z,ca,Financial Post,https://financialpost.com/real-estate/real-brokerage-remax-industry-consolidation
b6ae4f31908b867802d0bff32be07aa8,Nofumadores calls on Spain to follow the UK’s lead in banning the sale of tobacco: Mallorca terrace restrictions expanded,". Nofumadores.org platform is calling on Spain to follow the UK’s example and impose a lifetime ban on the sale of tobacco to anyone born on or after 1 January 2009, with the aim of establishing a ‘smoke-free generation’ model",2026-04-27T09:57:22Z,es,Majorca Daily Bulletin,https://www.majorcadailybulletin.com/news/local/2026/04/27/141917/nofumadores-calls-spain-follow-the-lead-banning-the-sale-tobacco-mallorca-terrace-restrictions-expanded.html
19d0a6d2133a24daa567e9c4e1da5434,"Preity Zinta is all praise for Punjab Kings captain Shreyas Iyer, calls him a ‘strategic leader that leads by example’","Punjab Kings, led by Shreyas Iyer, are the only unbeaten side in the IPL 2026 so far. Here's watch co-owner Preity Zinta said about him. | Bollywood",2026-04-27T08:46:01Z,in,Hindustan Times,https://www.hindustantimes.com/entertainment/bollywood/preity-zinta-is-all-praise-for-punjab-kings-captain-shreyas-iyer-calls-him-a-strategic-leader-that-leads-by-example-101777277522259.html
fd62696bb5bfc7fe2f009a262b0ae036,Hydropower shields Albania as Iran conflict drives European power price surge,Albania is an example of how countries with a higher renewables output have been protected from steep rises in electricity prices since the United States and Israel attacked Iran on February 28,2026-04-27T08:29:17Z,in,Telegraph India,https://www.telegraphindia.com/world/hydropower-shields-albania-as-iran-conflict-drives-european-power-price-surge-photogallery-prnt/cid/2158006
cb0f5def11704a2ee8b227e9bf3bf0c1,​Kareena Kapoor Khan and Saif Ali Khan:5 relationship lessons to learn from Bollywood's power couple​​,"Kareena Kapoor and Saif Ali Khan are the cornerstone of Bollywood love. Two actors with completely different personalities falling for each other and lasting years of marriage with kids and careers seems like a fancy dream. But these two have transformed it into a fairytale reality that has most wondering if it is truly possible to have it all. But just like any classic love story, Kareena and Saif's journey did not cruise through without any hiccups. From age gap to divorces and religion, they had to deal with it all to be able to stand tall on the victory line holding each other's hands. For the modern-day couple, who also deal with societal concepts such as these, they serve as an example.",2026-04-27T06:11:56Z,in,Times of India,https://timesofindia.indiatimes.com/relationships/kareena-kapoor-khan-and-saif-ali-khan5-relationship-lessons-to-learn-from-bollywoods-power-couple/photostory/130545773.cms
3e6e6b6443d1763831ef64cbbbe26b94,‘Shedsit’ garden cabins could become a rental black market,Housing without planning permission in back gardens is a prime example of a government accepting a populist idea without proper interrogation,2026-04-27T05:00:00Z,ie,The Irish Times,https://www.irishtimes.com/opinion/2026/04/27/shedsit-garden-cabins-could-become-a-rental-black-market/
b2887826fad5c5d3a26d9c9d6b63bfde,Push for White House ballroom accelerated by Correspondents’ Dinner shooting,The Trump administration was quick to seize upon Saturday night’s shooting at the White House Correspondents’ Association annual dinner as an example of why the proposed ballroom for the East Wing is so important.,2026-04-27T01:23:52Z,us,FOX 4 News,https://www.fox4news.com/news/push-white-house-ballroom-accelerated-correspondents-dinner-shooting
8998c2376061d9d461a475dbbeadac05,Push for White House ballroom accelerated by Correspondents’ Dinner shooting,The Trump administration was quick to seize upon Saturday night’s shooting at the White House Correspondents’ Association annual dinner as an example of why the proposed ballroom for the East Wing is so important.,2026-04-27T01:23:52Z,us,FOX 9,https://www.fox9.com/news/push-white-house-ballroom-accelerated-correspondents-dinner-shooting
